,fighter_1,weight_1,reach_1,age_1,slpm_1,sapm_1,td_avg_1,sub_avg_1,strk_acc_1,strk_def_1,td_acc_1,td_def_1,wins_1,losses_1,fighter_2,weight_2,reach_2,age_2,slpm_2,sapm_2,td_avg_2,sub_avg_2,strk_acc_2,strk_def_2,td_acc_2,td_def_2,wins_2,losses_2,result,SUB_OVR,KO_OVR
68,ShamilAbdurakhimov,235,76,40,2.45,2.45,1.23,0.2,44,58,24,47,20,5,ChrisDaukaus,250,76,32,1.78,3.22,0.0,0.0,61,65,0,0,11,3,0,0,1
69,RoxanneModafferi,125,69,39,3.13,5.03,1.42,0.1,30,53,23,30,25,19,TailaSantos,125,68,28,3.52,2.22,2.0,1.0,48,59,80,85,17,1,-2,0,0
70,UrosMedic,155,71,28,9.91,0.52,0.0,0.0,77,86,0,0,7,0,JalinTurner,155,77,26,6.2,4.37,0.71,1.8,47,45,66,78,10,5,0,1,0
71,CodyBrundage,185,72,27,7.97,6.29,6.29,0.0,82,6,33,0,5,1,NickMaximov,185,76,24,2.47,0.33,2.0,0.0,58,58,40,0,6,0,0,0,0
72,MatthewSemelsberger,170,75,29,6.11,5.68,0.99,0.5,48,61,0,0,8,3,MartinSano,170,11,30,0.0,0.0,0.0,0.0,0,0,0,0,4,2,1,0,1
73,JonathanPearce,145,71,29,8.8,6.65,5.91,0.7,55,46,60,75,10,4,OmarMorales,145,11,36,3.66,3.01,0.68,0.0,37,63,0,87,11,1,1,1,0
74,ThiagoSantos,205,76,37,4.27,2.33,0.7,0.1,48,55,38,66,21,9,JohnnyWalker,205,82,29,4.41,3.51,0.4,1.2,72,31,0,60,18,5,1,0,0
75,KevinHolland,185,81,29,3.74,2.33,0.92,0.6,54,56,45,47,21,7,KyleDaukaus,185,76,28,3.23,2.72,1.75,1.2,53,39,29,85,10,2,-2,0,0
76,AlexOliveira,170,11,33,2.86,2.23,2.37,0.6,50,48,37,63,22,10,NikoPrice,170,76,32,5.29,5.87,0.75,0.9,41,48,20,66,14,5,0,0,0
77,MishaCirkunov,205,77,34,4.18,3.22,4.28,2.3,51,60,57,71,15,6,KrzysztofJotko,185,77,32,2.94,2.2,1.16,0.1,41,57,34,87,22,5,0,0,0
78,AspenLadd,135,66,26,5.22,4.84,2.45,1.2,55,46,75,66,9,1,MacyChiasson,135,11,30,4.16,2.17,0.98,0.5,49,46,21,64,8,1,-2,0,0
79,AlexanderHernandez,155,72,29,3.57,3.81,1.6,0.0,35,59,38,62,12,4,MikeBreeden,155,10,32,4.0,5.87,0.0,0.0,34,47,0,77,10,3,1,0,1
80,JoeSolecki,155,70,28,2.68,0.85,2.39,0.8,66,58,50,0,11,2,JaredGordon,145,68,33,5.54,3.22,2.81,0.0,56,60,39,55,17,4,0,0,0
81,AntoninaShevchenko,125,67,37,3.87,2.77,0.57,0.6,56,50,60,50,9,3,CaseyO'Neill,125,69,24,5.56,2.64,3.47,2.1,60,38,62,60,7,0,-2,0,0
82,BetheCorreia,135,64,38,4.39,4.56,0.44,0.0,44,58,20,84,11,5,KarolRosa,135,67,27,7.73,5.51,2.0,0.0,52,48,60,90,14,3,-2,0,0
83,DevonteSmith,155,76,28,5.64,2.65,0.74,0.7,55,59,0,0,11,2,JamieMullarkey,155,74,27,2.02,4.65,3.9,0.5,34,43,30,66,13,4,0,0,1
84,DouglasSilvadeAndrade,145,68,36,3.77,4.26,0.7,0.0,38,58,50,66,26,4,GaetanoPirrello,135,68,29,0.67,1.89,0.0,0.0,42,46,0,30,15,6,1,0,1
85,StephanieEgger,135,68,33,0.67,1.33,1.0,0.0,31,52,16,40,5,2,ShannaYoung,135,65,30,3.05,5.28,0.0,0.0,57,45,0,54,8,4,-2,0,0
86,AlejandroPerez,145,67,32,3.52,2.94,0.52,0.1,35,64,20,73,22,8,JohnnyEduardo,135,71,43,2.89,3.34,0.0,0.5,38,63,0,62,28,12,1,1,0
