,fighter_1,weight_1,reach_1,age_1,slpm_1,sapm_1,td_avg_1,sub_avg_1,strk_acc_1,strk_def_1,td_acc_1,td_def_1,wins_1,losses_1,fighter_2,weight_2,reach_2,age_2,slpm_2,sapm_2,td_avg_2,sub_avg_2,strk_acc_2,strk_def_2,td_acc_2,td_def_2,wins_2,losses_2,result,SUB_OVR,KO_OVR,Fighter_1_Odds,Fighter_2_Odds
387,VolkanOezdemir,205.0,75.0,33,4.76,3.99,0.4,0.0,47.0,56.0,23.0,86.0,18.0,6.0,NikitaKrylov,205.0,77.0,30,4.55,2.46,1.41,1.3,56.0,43.0,35.0,54.0,28.0,9.0,0,0,0,143.0,-195.0
388,AbubakarNurmagomedov,170.0,11.0,33,3.59,2.52,1.68,0.0,49.0,69.0,33.0,0.0,16.0,3.0,GadzhiOmargadzhiev,170.0,71.0,29,1.21,1.81,1.64,0.8,41.0,38.0,66.0,0.0,13.0,1.0,1,0,0,-175.0,115.0
389,ArmenPetrosyan,185.0,71.0,32,5.17,2.26,0.0,0.0,54.0,53.0,0.0,30.0,7.0,2.0,AJDobson,185.0,76.0,30,4.7,4.55,0.78,0.8,57.0,39.0,50.0,62.0,6.0,1.0,1,0,0,-225.0,160.0
390,MuhammadMokaev,125.0,70.0,22,0.88,0.81,1.27,0.9,41.0,51.0,46.0,0.0,8.0,0.0,MalcolmGordon,125.0,71.0,32,2.39,2.43,2.06,0.7,44.0,44.0,25.0,0.0,14.0,5.0,1,1,0,-1500.0,700.0
391,TimMeans,170.0,75.0,38,5.01,3.63,1.02,0.2,48.0,61.0,39.0,66.0,32.0,13.0,MaxGriffin,170.0,11.0,37,4.36,3.94,1.48,0.4,50.0,57.0,50.0,75.0,18.0,9.0,0,0,0,150.0,-200.0
392,WaldoCortes-Acosta,260.0,78.0,31,1.73,4.09,0.0,0.0,48.0,44.0,0.0,0.0,7.0,0.0,JaredVanderaa,265.0,80.0,30,5.23,5.84,0.22,0.0,45.0,43.0,0.0,20.0,12.0,9.0,1,0,0,-227.0,175.0
393,JoshFremd,185.0,76.0,28,2.07,3.2,1.0,1.0,57.0,32.0,0.0,27.0,9.0,3.0,TreseanGore,185.0,75.0,28,3.45,6.74,1.59,0.8,54.0,45.0,66.0,80.0,4.0,2.0,0,1,0,-175.0,134.0
394,DustinJacoby,205.0,76.0,34,5.27,3.77,0.38,0.0,46.0,59.0,42.0,58.0,18.0,5.0,KhalilRountreeJr.,205.0,76.0,32,3.34,3.55,0.0,0.2,38.0,49.0,0.0,50.0,11.0,5.0,0,0,0,-189.0,138.0
395,AndreiArlovski,240.0,77.0,43,3.81,3.2,0.4,0.2,45.0,57.0,36.0,76.0,34.0,20.0,MarcosRogeriodeLima,253.0,75.0,37,3.57,2.44,1.11,0.5,54.0,53.0,50.0,57.0,19.0,9.0,0,1,0,200.0,-275.0
396,JosephHolmes,185.0,80.0,27,3.31,2.9,1.89,1.3,51.0,61.0,37.0,60.0,8.0,2.0,JunyongPark,185.0,10.0,31,5.14,3.93,2.12,0.4,50.0,53.0,55.0,70.0,14.0,5.0,0,1,0,170.0,-235.0
397,ChaseHooper,145.0,74.0,23,3.99,3.41,1.59,2.4,48.0,34.0,27.0,50.0,11.0,2.0,SteveGarcia,145.0,75.0,30,4.5,2.33,1.84,0.5,56.0,41.0,44.0,0.0,12.0,5.0,0,0,1,-357.0,240.0
398,CodyDurden,125.0,67.0,31,3.98,4.12,4.24,0.4,49.0,48.0,38.0,71.0,13.0,4.0,CarlosMota,125.0,69.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1,0,0,130.0,-175.0
399,ChristianRodriguez,135.0,71.0,25,3.47,2.17,1.0,1.5,41.0,60.0,0.0,60.0,7.0,1.0,JoshuaWeems,135.0,69.0,28,6.92,5.54,0.0,0.0,60.0,61.0,0.0,0.0,11.0,2.0,1,1,0,-455.0,300.0
400,NeilMagny,170.0,80.0,35,3.59,2.16,2.31,0.3,46.0,55.0,40.0,57.0,26.0,10.0,DanielRodriguez,170.0,74.0,36,7.75,5.35,0.72,0.1,49.0,57.0,55.0,73.0,17.0,2.0,1,1,0,-125.0,-110.0
401,TagirUlanbekov,125.0,70.0,31,3.42,3.36,3.67,0.7,44.0,54.0,42.0,61.0,13.0,2.0,NateManess,125.0,10.0,31,1.95,4.79,1.01,0.3,42.0,40.0,75.0,77.0,14.0,2.0,1,1,0,-260.0,180.0
402,GrantDawson,155.0,10.0,28,3.17,2.56,3.97,1.4,50.0,45.0,34.0,40.0,18.0,1.0,MarkMadsen,155.0,72.0,38,3.77,3.92,3.9,0.0,47.0,55.0,66.0,50.0,12.0,0.0,1,1,0,-227.0,170.0
403,DarrickMinner,145.0,69.0,32,2.58,1.95,2.46,2.8,64.0,32.0,72.0,66.0,26.0,13.0,ShayilanNuerdanbieke,145.0,69.0,28,1.8,2.89,3.0,0.0,42.0,49.0,32.0,40.0,38.0,10.0,0,0,1,240.0,-450.0
404,MarioBautista,135.0,69.0,29,5.27,3.96,2.17,0.3,48.0,56.0,63.0,66.0,10.0,2.0,BenitoLopez,135.0,10.0,28,4.49,4.8,0.0,0.3,44.0,58.0,0.0,78.0,10.0,1.0,1,1,0,-458.0,250.0
405,LiudvikSholinian,135.0,10.0,32,1.27,6.13,0.0,0.0,20.0,40.0,0.0,75.0,9.0,3.0,JohnnyMunoz,135.0,71.0,29,2.74,1.39,2.53,2.5,41.0,67.0,20.0,0.0,11.0,2.0,0,0,0,200.0,-270.0
406,CarlosCandelario,125.0,68.0,31,3.11,4.04,2.33,0.3,46.0,42.0,33.0,53.0,8.0,2.0,JakeHadley,125.0,70.0,26,1.47,1.73,0.65,1.9,38.0,70.0,0.0,42.0,8.0,1.0,0,1,0,210.0,-280.0
407,IsraelAdesanya,185.0,80.0,33,3.93,2.67,0.0,0.2,49.0,59.0,0.0,78.0,23.0,1.0,AlexPereira,185.0,79.0,35,6.29,3.36,0.0,0.0,60.0,58.0,0.0,73.0,6.0,1.0,0,0,1,-225.0,130.0
408,DustinPoirier,155.0,72.0,33,5.61,4.28,1.44,1.2,50.0,53.0,36.0,64.0,28.0,7.0,MichaelChandler,155.0,71.0,36,5.17,4.87,1.83,1.1,46.0,45.0,36.0,71.0,23.0,7.0,1,1,0,-235.0,163.0
409,FrankieEdgar,135.0,68.0,41,3.79,2.81,2.3,0.3,40.0,66.0,31.0,65.0,23.0,10.0,ChrisGutierrez,135.0,67.0,31,4.69,2.61,0.44,0.1,58.0,63.0,37.0,73.0,18.0,3.0,0,0,1,175.0,-255.0
410,DanHooker,145.0,75.0,32,4.91,4.81,0.89,0.2,47.0,51.0,36.0,78.0,21.0,12.0,ClaudioPuelles,155.0,10.0,26,1.99,2.89,2.74,1.4,51.0,46.0,38.0,60.0,13.0,2.0,1,0,1,-163.0,128.0
411,BradRiddell,155.0,71.0,31,4.73,3.56,1.85,0.0,53.0,52.0,37.0,62.0,10.0,3.0,RenatoMoicano,155.0,11.0,33,4.8,4.07,1.7,0.6,48.0,61.0,48.0,73.0,16.0,5.0,0,1,0,-105.0,-152.0
412,DominickReyes,205.0,77.0,33,4.77,3.73,0.36,0.4,50.0,48.0,28.0,80.0,12.0,3.0,RyanSpann,205.0,79.0,31,3.35,3.41,1.5,1.8,44.0,47.0,38.0,50.0,20.0,7.0,0,0,1,-230.0,165.0
413,AndrePetroski,185.0,73.0,31,4.07,2.05,4.1,4.1,61.0,53.0,47.0,0.0,8.0,2.0,WellingtonTurman,185.0,72.0,26,2.96,4.04,1.98,1.0,49.0,42.0,20.0,85.0,18.0,5.0,1,0,0,-205.0,145.0
